stock_id,company_name,date,filename,note
002042,华孚时尚,2016年,华孚时尚(002042.SZ)_2017-03-24.pdf,无研发收入或解析错误
000068,华控赛格,2015年,华控赛格(000068.SZ)_2016-03-17.pdf,无研发收入或解析错误
000607,华媒控股,2015年,华媒控股(000607.SZ)_2016-04-28.pdf,无研发收入或解析错误
000976,华铁股份,2015年,华铁股份(000976.SZ)_2016-02-03.pdf,无研发收入或解析错误
000976,华铁股份,2015年,华铁股份(000976.SZ)_2016-02-24.pdf,无研发收入或解析错误
002556,辉隆股份,2015年,辉隆股份(002556.SZ)_2016-04-22.pdf,无研发收入或解析错误
002691,冀凯股份,2017年,冀凯股份(002691.SZ)_2018-04-18.pdf,无研发收入或解析错误
002404,嘉欣丝绸,2016年,嘉欣丝绸(002404.SZ)_2017-03-21.pdf,无研发收入或解析错误
300116,坚瑞沃能,2017年,坚瑞沃能(300116.SZ)_2018-04-27.pdf,无研发收入或解析错误
002789,建艺集团,2015年,建艺集团(002789.SZ)_2016-04-15.pdf,无研发收入或解析错误
300589,江龙船艇,2017年,江龙船艇(300589.SZ)_2018-04-10.pdf,无研发收入或解析错误
300589,江龙船艇,2018年,江龙船艇(300589.SZ)_2019-04-17.pdf,无研发收入或解析错误
000612,焦作万方,2016年,焦作万方(000612.SZ)_2017-03-29.pdf,无研发收入或解析错误
000612,焦作万方,2016年,焦作万方(000612.SZ)_2017-08-03.pdf,无研发收入或解析错误
300434,金石亚药,2015年,金石亚药(300434.SZ)_2016-04-12.pdf,无研发收入或解析错误
300434,金石亚药,2016年,金石亚药(300434.SZ)_2017-03-24.pdf,无研发收入或解析错误
300434,金石亚药,2017年,金石亚药(300434.SZ)_2018-04-20.pdf,无研发收入或解析错误
000711,京蓝科技,2015年,京蓝科技(000711.SZ)_2016-02-15.pdf,无研发收入或解析错误
000711,京蓝科技,2015年,京蓝科技(000711.SZ)_2016-06-03.pdf,无研发收入或解析错误
000908,景峰医药,2017年,景峰医药(000908.SZ)_2018-04-20.pdf,无研发收入或解析错误
002037,久联发展,2015年,久联发展(002037.SZ)_2016-04-26.pdf,无研发收入或解析错误
002558,巨人网络,2015年,巨人网络(002558.SZ)_2016-04-29.pdf,无研发收入或解析错误
300633,开立医疗,2016年,开立医疗(300633.SZ)_2017-04-27.pdf,无研发收入或解析错误
002823,凯中精密,2018年,凯中精密(002823.SZ)_2019-04-29.pdf,无研发收入或解析错误
002773,康弘药业,2016年,康弘药业(002773.SZ)_2017-04-06.pdf,无研发收入或解析错误
002119,康强电子,2016年,康强电子(002119.SZ)_2017-03-28.pdf,无研发收入或解析错误
300152,科融环境,2018年,科融环境(300152.SZ)_2019-07-05.pdf,无研发收入或解析错误
000968,蓝焰控股,2016年,蓝焰控股(000968.SZ)_2017-04-25.pdf,无研发收入或解析错误
002612,朗姿股份,2017年,朗姿股份(002612.SZ)_2018-03-31.pdf,无研发收入或解析错误
300296,利亚德,2015年,利亚德(300296.SZ)_2016-03-18.pdf,无研发收入或解析错误
300296,利亚德,2017年,利亚德(300296.SZ)_2018-03-27.pdf,无研发收入或解析错误
000697,炼石航空,2015年,炼石航空(000697.SZ)_2016-03-26.pdf,无研发收入或解析错误
002682,龙洲股份,2015年,龙洲股份(002682.SZ)_2016-04-22.pdf,无研发收入或解析错误
