stock_id,company_name,date,filename,note
200017,深中华B,2015年,深中华B(200017.SZ)_2016-04-25.pdf,无研发收入或解析错误
200017,深中华B,2016年,深中华B(200017.SZ)_2017-04-27.pdf,无研发收入或解析错误
200018,神城B退,2015年,神城B退(200018.SZ)_2016-04-15.pdf,无研发收入或解析错误
200018,神城B退,2016年,神城B退(200018.SZ)_2017-04-28.pdf,无研发收入或解析错误
200018,神城B退,2017年,神城B退(200018.SZ)_2018-04-25.pdf,无研发收入或解析错误
200018,神城B退,2017年,神城B退(200018.SZ)_2018-08-15.pdf,无研发收入或解析错误
000008,神州高铁,2015年,神州高铁(000008.SZ)_2016-04-27.pdf,无研发收入或解析错误
000008,神州高铁,2018年,神州高铁(000008.SZ)_2019-04-25.pdf,无研发收入或解析错误
300518,盛讯达,2017年,盛讯达(300518.SZ)_2018-04-25.pdf,无研发收入或解析错误
000652,泰达股份,2016年,泰达股份(000652.SZ)_2017-04-12.pdf,无研发收入或解析错误
300165,天瑞仪器,2017年,天瑞仪器(300165.SZ)_2018-04-23.pdf,无研发收入或解析错误
300165,天瑞仪器,2018年,天瑞仪器(300165.SZ)_2019-04-25.pdf,无研发收入或解析错误
000638,万方发展,2015年,万方发展(000638.SZ)_2016-06-15.pdf,无研发收入或解析错误
000638,万方发展,2016年,万方发展(000638.SZ)_2017-04-28.pdf,无研发收入或解析错误
000789,万年青,2015年,万年青(000789.SZ)_2016-06-15.pdf,无研发收入或解析错误
000789,万年青,2016年,万年青(000789.SZ)_2017-04-29.pdf,无研发收入或解析错误
000789,万年青,2017年,万年青(000789.SZ)_2018-03-30.pdf,无研发收入或解析错误
000789,万年青,2017年,万年青(000789.SZ)_2018-06-14.pdf,无研发收入或解析错误
000581,威孚高科,2015年,威孚高科(000581.SZ)_2016-04-19.pdf,无研发收入或解析错误
000581,威孚高科,2017年,威孚高科(000581.SZ)_2018-04-17.pdf,无研发收入或解析错误
000762,西藏矿业,2017年,西藏矿业(000762.SZ)_2018-04-24.pdf,无研发收入或解析错误
000762,西藏矿业,2017年,西藏矿业(000762.SZ)_2018-06-06.pdf,无研发收入或解析错误
000762,西藏矿业,2018年,西藏矿业(000762.SZ)_2019-04-26.pdf,无研发收入或解析错误
300123,亚光科技,2017年,亚光科技(300123.SZ)_2018-04-25.pdf,无研发收入或解析错误
002411,延安必康,2015年,延安必康(002411.SZ)_2016-04-26.pdf,无研发收入或解析错误
002411,延安必康,2016年,延安必康(002411.SZ)_2017-04-27.pdf,无研发收入或解析错误
000729,燕京啤酒,2016年,燕京啤酒(000729.SZ)_2017-04-26.pdf,无研发收入或解析错误
000729,燕京啤酒,2017年,燕京啤酒(000729.SZ)_2018-04-28.pdf,无研发收入或解析错误
000729,燕京啤酒,2018年,燕京啤酒(000729.SZ)_2019-05-10.pdf,无研发收入或解析错误
002922,伊戈尔,2018年,伊戈尔(002922.SZ)_2019-04-12.pdf,无研发收入或解析错误
000150,宜华健康,2015年,宜华健康(000150.SZ)_2016-04-09.pdf,无研发收入或解析错误
000150,宜华健康,2015年,宜华健康(000150.SZ)_2016-04-14.pdf,无研发收入或解析错误
300125,易世达,2018年,易世达(300125.SZ)_2019-01-29.pdf,无研发收入或解析错误
000411,英特集团,2015年,英特集团(000411.SZ)_2016-04-16.pdf,无研发收入或解析错误
000411,英特集团,2016年,英特集团(000411.SZ)_2017-04-22.pdf,无研发收入或解析错误
300305,裕兴股份,2016年,裕兴股份(300305.SZ)_2017-03-08.pdf,无研发收入或解析错误
200539,粤电力Ｂ,2015年,粤电力Ｂ(200539.SZ)_2016-04-30.pdf,无研发收入或解析错误
200539,粤电力Ｂ,2016年,粤电力Ｂ(200539.SZ)_2017-04-26.pdf,无研发收入或解析错误
200539,粤电力Ｂ,2017年,粤电力Ｂ(200539.SZ)_2018-04-28.pdf,无研发收入或解析错误
200541,粤照明Ｂ,2016年,粤照明Ｂ(200541.SZ)_2017-03-30.pdf,无研发收入或解析错误
200541,粤照明Ｂ,2017年,粤照明Ｂ(200541.SZ)_2018-03-30.pdf,无研发收入或解析错误
200541,粤照明Ｂ,2018年,粤照明Ｂ(200541.SZ)_2019-03-29.pdf,无研发收入或解析错误
300333,兆日科技,2015年,兆日科技(300333.SZ)_2016-04-22.pdf,无研发收入或解析错误
000906,浙商中拓,2015年,浙商中拓(000906.SZ)_2016-04-09.pdf,无研发收入或解析错误
000906,浙商中拓,2018年,浙商中拓(000906.SZ)_2019-03-28.pdf,无研发收入或解析错误
000881,中广核技,2015年,中广核技(000881.SZ)_2016-03-29.pdf,无研发收入或解析错误
300527,中国应急,2017年,中国应急(300527.SZ)_2018-04-24.pdf,无研发收入或解析错误
000544,中原环保,2015年,中原环保(000544.SZ)_2016-05-27.pdf,无研发收入或解析错误
000544,中原环保,2016年,中原环保(000544.SZ)_2017-04-19.pdf,无研发收入或解析错误
002464,众应互联,2015年,众应互联(002464.SZ)_2016-04-26.pdf,无研发收入或解析错误
002464,众应互联,2016年,众应互联(002464.SZ)_2017-03-31.pdf,无研发收入或解析错误
000950,重药控股,2017年,重药控股(000950.SZ)_2018-04-20.pdf,无研发收入或解析错误
000950,重药控股,2017年,重药控股(000950.SZ)_2018-07-03.pdf,无研发收入或解析错误
000950,重药控股,2018年,重药控股(000950.SZ)_2019-04-23.pdf,无研发收入或解析错误
