,,,,,,,,,大健康,,,50.0,三胞国际医疗,19.3,2014.0,上海,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,电子商务,,,,,,,,52.0,优信互联,17.0,2011.0,北京,,,,,,,,,,,,,,,
,,,,,,,,,交通出行,,,,,,,,53.0,蔚来汽车,16.7,2014.0,上海,,,,,,,,,,,,,,,
,,,,,,,,,电子商务,,,,,,,,54.0,土巴兔,16.0,2008.0,深圳,,,,,,,,,,,,,,,
,,,,,,,,,企业服务,,,,,,,,55.0,钉钉,15.5,2014.0,杭州,,,,,,,,,,,,,,,
,,,,,,,,,互联网金融,,,,,,,,56.0,拍拍贷,15.0,2007.0,上海,,,,,,,,,,,,,,,
,,,,,,,,,大健康,,,,,,,,56.0,微医集团,15.0,2010.0,杭州,,,,,,,,,,,,,,,
,,,,,,,,,电子商务,,,,,,,,56.0,口袋购物,15.0,2011.0,北京,,,,,,,,,,,,,,,
,,,,,,,,,软件应用,,,,,,,,56.0,APUSgroup,15.0,2014.0,北京,,,,,,,,,,,,,,,
,,,,,,,,,新媒体,,,,,,,,56.0,界面,15.0,2014.0,上海,,,,,,,,,,,,,,,
,,,,,,,,,文化娱乐,,,,,,,,56.0,英雄互娱,15.0,2015.0,北京,,,,,,,,,,,,,,,
,,,,,,,,,文化娱乐,,,,,,,,62.0,乐视影业,14.7,2011.0,北京,,,,,,,,,,,,,,,
,,,,,,,,,电子商务,,,,,,,,63.0,宝宝树,14.5,2007.0,北京,,,,,,,,,,,,,,,
,,,,,,,,,互联网金融,,,,,,,,64.0,微贷网,13.8,2011.0,杭州,,,,,,,,,,,,,,,
,,,,,,,,,物流,,,,,,,,65.0,安能物流,13.0,2010.0,上海,,,,,,,,,,,,,,,
,,,,,,,,,旅游,,,,,,,,65.0,途家网,13.0,2011.0,北京,,,,,,,,,,,,,,,
,,,,,,,,,电子商务,,,,,,,,65.0,58到家,13.0,2014.0,天津,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,69.0,罗计物流,12.6,物流,2014.0,北京,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,70.0,爱屋吉屋,12.5,房地产,2014.0,上海,,,,,,,,,
